#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2018-05-21 18:52:47.755

Frequency (Hz),Trace 1 (dBV)
0,-50.919922678244632
4.8828125,-56.913923149823404
9.765625,-92.081874323868135
14.6484375,-90.753966810398992
19.53125,-90.238462214624434
24.4140625,-90.092830733121133
29.296875,-90.430552775570646
34.1796875,-90.424325459047381
39.0625,-90.697048189084654
43.9453125,-90.555410198497015
48.828125,-91.092618890161788
53.7109375,-91.159862074781515
58.59375,-89.666422096675106
63.4765625,-90.278693961882567
68.359375,-91.954030918113091
73.2421875,-92.457352456262512
78.125,-93.149436777389099
83.0078125,-92.382164005538513
87.890625,-92.81627865365499
92.7734375,-94.039998210686875
97.65625,-93.606848861976005
102.5390625,-94.039570853673439
107.421875,-94.661740604016842
112.3046875,-94.815651792054823
117.1875,-95.542814200400912
122.0703125,-95.290947452361877
126.953125,-95.484022508027863
131.8359375,-95.702825938507516
136.71875,-95.119454843497351
141.6015625,-95.093839858476201
146.484375,-95.774768932950565
151.3671875,-94.760246756012435
156.25,-94.4347694295965
161.1328125,-94.654892069245903
166.015625,-93.673353064770907
170.8984375,-92.821806458017946
175.78125,-92.983414168842842
180.6640625,-92.468423673002064
185.546875,-92.019968404121016
190.4296875,-92.087529108436598
195.3125,-91.063696763712983
200.1953125,-91.243393435129207
205.078125,-90.897903792535075
209.9609375,-90.632069474827205
214.84375,-90.103141784853108
219.7265625,-90.290217221488476
224.609375,-89.60280148855415
229.4921875,-89.261021731561797
234.375,-89.342554163307312
239.2578125,-89.595615534273477
244.140625,-90.286649522295875
249.0234375,-90.404141659209756
253.90625,-89.778490027712067
258.7890625,-89.387404221741008
263.671875,-90.072160052664643
268.5546875,-89.633700507066408
273.4375,-89.843334044747934
278.3203125,-89.3710948534316
283.203125,-89.595462521571648
288.0859375,-89.522461391684061
292.96875,-89.387813574256555
297.8515625,-90.341297522514438
302.734375,-91.291223106077609
307.6171875,-90.993733420296394
312.5,-90.49158675780204
317.3828125,-90.957399380995966
322.265625,-91.409031411260202
327.1484375,-91.632012252691879
332.03125,-92.143877528586358
336.9140625,-92.877545911676705
341.796875,-93.513049383598755
346.6796875,-93.777330950020982
351.5625,-94.054094423292312
356.4453125,-94.393339715004771
361.328125,-94.594730441992255
366.2109375,-95.784758068220242
371.09375,-95.229537011318456
375.9765625,-95.777853222640715
380.859375,-95.783325910757952
385.7421875,-95.792469429310913
390.625,-95.348551767179899
395.5078125,-95.752747988351672
400.390625,-95.685568536747297
405.2734375,-95.423258968900555
410.15625,-95.669116448688683
415.0390625,-94.839610099111127
419.921875,-94.320192334135754
424.8046875,-94.06871916833768
429.6875,-93.793796790121689
434.5703125,-93.233004483703553
439.453125,-92.607879489939094
444.3359375,-91.706199734816423
449.21875,-92.434601900947371
454.1015625,-91.880156094972136
458.984375,-91.278617354949105
463.8671875,-91.128572419386288
468.75,-90.975560776713209
473.6328125,-90.410329239828485
478.515625,-90.253517350961971
483.3984375,-89.990930393454946
488.28125,-89.268883327319202
493.1640625,-89.459738257528883
498.046875,-89.753119595187982
502.9296875,-90.305051048614587
507.8125,-89.771575368686314
512.6953125,-89.371281482406388
517.578125,-89.817625407377932
522.4609375,-89.686670829178354
527.34375,-89.280372922520144
532.2265625,-89.760821298196817
537.109375,-89.535542569544305
541.9921875,-90.214180969297303
546.875,-90.064094864322243
551.7578125,-89.813798507225442
556.640625,-90.701383887179361
561.5234375,-90.782893357079857
566.40625,-90.376071521861718
571.2890625,-91.162835222238101
576.171875,-91.654450386731014
581.0546875,-91.509785139588345
585.9375,-91.632970750902288
590.8203125,-91.674753868168267
595.703125,-92.732251756760547
600.5859375,-93.69466834348782
605.46875,-94.191410856936756
610.3515625,-93.92702120291311
615.234375,-94.256515890217713
620.1171875,-95.197795894016053
625,-95.224070291882271
629.8828125,-94.926690316411992
634.765625,-95.77214891729821
639.6484375,-96.067352960676885
644.53125,-95.796540889925524
649.4140625,-95.611034135857437
654.296875,-95.722441458810593
659.1796875,-95.530926680036998
664.0625,-95.113183374970589
668.9453125,-95.281540252764202
673.828125,-94.529542305266233
678.7109375,-94.387922329554414
683.59375,-93.993114540397315
688.4765625,-93.3704505402915
693.359375,-92.294660637613532
698.2421875,-92.503436362969381
703.125,-92.239453087155852
708.0078125,-92.240657448832991
