#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2018-05-21 16:57:27.291

Frequency (Hz),Trace 1 (dBV)
0,-50.014428800066895
4.8828125,-55.991912570480686
9.765625,-60.468719019234399
14.6484375,-58.314629416484905
19.53125,-56.720042345267203
24.4140625,-56.161828927712776
29.296875,-56.11633194072148
34.1796875,-55.890963775527823
39.0625,-56.182867723516168
43.9453125,-55.787352307776104
48.828125,-55.886124932008286
53.7109375,-55.497897945138526
58.59375,-55.7920112948119
63.4765625,-55.569811340072491
68.359375,-55.742226941493492
73.2421875,-55.18293039655677
78.125,-55.499921557102219
83.0078125,-55.747431670043362
87.890625,-55.640738834897505
92.7734375,-55.309701782304295
97.65625,-55.383989518256904
102.5390625,-55.704943766319872
107.421875,-55.685888997925744
112.3046875,-55.51675615924303
117.1875,-55.257436858313724
122.0703125,-55.458345163149822
126.953125,-55.13480549735754
131.8359375,-55.0008713038563
136.71875,-55.437567019748158
141.6015625,-55.368585090540691
146.484375,-55.346577958253143
151.3671875,-55.501486950777803
156.25,-55.655365603432287
161.1328125,-55.319552786426939
166.015625,-55.048928128501103
170.8984375,-55.553839110433536
175.78125,-55.571380794103682
180.6640625,-55.52743589441296
185.546875,-55.049651247129972
190.4296875,-55.218386747469182
195.3125,-55.453311639885158
200.1953125,-55.359170391680792
205.078125,-55.196936443651794
209.9609375,-55.235387836234821
214.84375,-55.317394762690753
219.7265625,-55.036152413321958
224.609375,-55.418401277657779
229.4921875,-55.171029326212334
234.375,-55.324991628537248
239.2578125,-55.135758219887748
244.140625,-55.149667562521749
249.0234375,-54.872151344488444
253.90625,-54.981575678467607
258.7890625,-55.215101632526775
263.671875,-55.418179219754684
268.5546875,-55.410133051519459
273.4375,-55.500530975953765
278.3203125,-55.030851892966538
283.203125,-55.401825685938171
288.0859375,-55.307287405911261
292.96875,-55.348952837881498
297.8515625,-55.038370315482581
302.734375,-54.686420008850448
307.6171875,-54.916236863232264
312.5,-55.106319652017739
317.3828125,-55.048335502977181
322.265625,-55.41413148562421
327.1484375,-55.321603726826424
332.03125,-55.154231609796312
336.9140625,-54.995991809167464
341.796875,-55.208232134831789
346.6796875,-55.005112266144572
351.5625,-54.836397758593151
356.4453125,-55.031156313575877
361.328125,-54.900292817925234
366.2109375,-55.000197998694858
371.09375,-55.055734117959091
375.9765625,-55.426250888353827
380.859375,-55.372407216438042
385.7421875,-55.088815329638827
390.625,-54.914453696677924
