#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2018-05-21 20:08:36.400

Frequency (Hz),Channel 1 (dBV)
0,-46.41380755459565
4.8840048840048844,-52.450045341274361
9.7680097680097688,-60.257328692267095
14.652014652014651,-57.609436271068724
19.536019536019538,-56.561385043976841
24.420024420024419,-56.328613665208572
29.304029304029303,-55.364240066358676
34.188034188034187,-55.244430400321377
39.072039072039075,-54.300845021057455
43.956043956043956,-53.791388237744769
48.840048840048837,-54.684836870567437
53.724053724053725,-53.383966142417535
58.608058608058606,-52.46157838536655
63.492063492063494,-51.80476147177621
68.376068376068375,-50.855121313641931
73.260073260073256,-49.752080693211198
78.144078144078151,-47.752003107600522
83.028083028083032,-45.697745290136069
87.912087912087912,-43.371246950403162
92.796092796092793,-39.431928160740391
97.680097680097674,-36.774884909956114
102.56410256410257,-36.583324769285881
107.44810744810745,-38.891600510134111
112.33211233211233,-42.692048667770862
117.21611721611721,-45.007661863932626
122.10012210012211,-47.369250393949393
126.98412698412699,-48.021695101720177
131.86813186813185,-49.141079961597725
136.75213675213675,-49.854679199984908
141.63614163614164,-50.186140581553424
146.52014652014651,-51.451563793957888
151.40415140415141,-50.829096321538778
156.2881562881563,-50.311109250233663
161.17216117216117,-51.033125468966567
166.05616605616606,-52.38885515396656
170.94017094017093,-52.895409932548354
175.82417582417582,-52.516738226972805
180.70818070818072,-52.734863184715337
185.59218559218559,-53.144669313014575
190.47619047619048,-53.43629434517625
195.36019536019535,-53.474511315330382
200.24420024420024,-53.544610361016971
205.12820512820514,-53.129419023584944
210.01221001221001,-53.571540334952779
214.8962148962149,-53.461674109660791
219.78021978021977,-53.379561560478372
224.66422466422466,-54.325733120345944
229.54822954822956,-54.400933039892259
234.43223443223442,-54.109427780974137
239.31623931623932,-53.63814697598329
244.20024420024421,-53.223694588075602
249.08424908424908,-53.618187038421055
253.96825396825398,-54.200151780931598
258.85225885225884,-54.491735938587425
263.73626373626371,-54.507284074796665
268.62026862026863,-54.173003027047443
273.5042735042735,-54.331535664651256
278.38827838827837,-54.13020424441622
283.27228327228329,-54.254264724386793
288.15628815628816,-54.420362612587169
293.04029304029302,-54.325614591784365
297.92429792429795,-54.026630424304372
302.80830280830281,-53.534476595221619
307.69230769230768,-53.081393941831664
312.5763125763126,-54.098823867723233
317.46031746031747,-53.998850275994769
322.34432234432234,-54.293578881476378
327.2283272283272,-54.725398198801727
332.11233211233213,-54.338067418094738
336.99633699633699,-54.850335254588998
341.88034188034186,-54.651749281405301
346.76434676434678,-54.288329154160834
351.64835164835165,-53.774603521262286
356.53235653235652,-54.431539539822651
361.41636141636144,-54.941775418046319
366.30036630036631,-54.42163467062565
371.18437118437117,-54.699274163268434
376.0683760683761,-54.740511316683147
380.95238095238096,-53.755398490107893
385.83638583638583,-53.914769177803315
390.7203907203907,-53.759506635840701
395.60439560439562,-53.777154496324357
400.48840048840049,-54.490704081021136
405.37240537240535,-54.031033918393383
410.25641025641028,-54.617216345691624
415.14041514041514,-54.036916408468656
420.02442002442001,-54.312640273996671
